No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
3415,A11F2S2642209509,4,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642209509
3416,A11F2S2642209488,6,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642209488
3417,A11F2S2642204492,1,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642204492
3418,A11F2S2642209510,3,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642209510
3419,A11F2S2642209489,5,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642209489
3420,A11F2S2642209511,2,2026-08-19 14:52,52:17.0,52:17.0,A11F2S2642209511
3421,A11F2S2642209705,1,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209705
3422,A11F2S2642209505,6,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209505
3423,A11F2S2642209495,4,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209495
3424,A11F2S2642209716,2,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209716
3425,A11F2S2642209711,3,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209711
3426,A11F2S2642209506,5,2026-08-19 14:51,52:08.0,52:08.0,A11F2S2642209506
3427,A11F2S2642209726,4,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209726
3428,A11F2S2642209706,6,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209706
3429,A11F2S2642209712,2,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209712
3430,A11F2S2642209707,5,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209707
3431,A11F2S2642209713,1,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209713
3432,A11F2S2642209727,3,2026-08-19 14:51,52:00.0,52:00.0,A11F2S2642209727
3433,A11F2S2642209701,1,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209701
3434,A11F2S2642209714,4,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209714
3435,A11F2S2642209695,5,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209695
3436,A11F2S2642209715,3,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209715
3437,A11F2S2642209694,6,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209694
3438,A11F2S2642209700,2,2026-08-19 14:51,51:51.0,51:51.0,A11F2S2642209700
3439,A11F2S2642209722,4,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209722
3440,A11F2S2642209720,6,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209720
3441,A11F2S2642209721,5,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209721
3442,A11F2S2642209498,3,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209498
3443,A11F2S2642209500,1,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209500
3444,A11F2S2642209499,2,2026-08-19 14:51,51:44.0,51:44.0,A11F2S2642209499
3445,A11F2S2642209504,1,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209504
3446,A11F2S2642209503,2,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209503
3447,A11F2S2642209477,4,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209477
3448,A11F2S2642209476,5,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209476
3449,A11F2S2642209478,3,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209478
3450,A11F2S2642209487,6,2026-08-19 14:51,51:35.0,51:35.0,A11F2S2642209487
3451,A11F2S2642209466,3,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209466
3452,A11F2S2642209464,5,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209464
3453,A11F2S2642209486,1,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209486
3454,A11F2S2642209465,4,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209465
3455,A11F2S2642209485,2,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209485
3456,A11F2S2642209475,6,2026-08-19 14:51,51:26.0,51:26.0,A11F2S2642209475
3457,A11F2S2642209752,1,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209752
3458,A11F2S2642209747,3,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209747
3459,A11F2S2642209484,5,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209484
3460,A11F2S2642209751,2,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209751
3461,A11F2S2642209483,6,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209483
3462,A11F2S2642209497,4,2026-08-19 14:51,51:19.0,51:19.0,A11F2S2642209497
3463,A11F2S2642209748,2,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209748
3464,A11F2S2642209762,3,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209762
3465,A11F2S2642209761,4,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209761
3466,A11F2S2642209741,6,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209741
3467,A11F2S2642209766,1,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209766
3468,A11F2S2642209743,5,2026-08-19 14:51,51:11.0,51:11.0,A11F2S2642209743
3469,A11F2S2642209749,4,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209749
3470,A11F2S2642209731,5,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209731
3471,A11F2S2642209755,1,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209755
3472,A11F2S2642209737,2,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209737
3473,A11F2S2642209750,3,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209750
3474,A11F2S2642209730,6,2026-08-19 14:50,51:03.0,51:03.0,A11F2S2642209730
3475,A11F2S2642209463,2,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209463
3476,A11F2S2642209756,6,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209756
3477,A11F2S2642209473,1,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209473
3478,A11F2S2642209758,4,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209758
3479,A11F2S2642209757,5,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209757
3480,A11F2S2642209456,3,2026-08-19 14:50,50:54.0,50:54.0,A11F2S2642209456
3481,A11F2S2642209490,4,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209490
3482,A11F2S2642209491,3,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209491
3483,A11F2S2642209493,2,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209493
3484,A11F2S2642209472,5,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209472
3485,A11F2S2642209474,6,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209474
3486,A11F2S2642209482,1,2026-08-19 14:50,50:46.0,50:46.0,A11F2S2642209482
3487,A11F2S2642209479,3,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209479
3488,A11F2S2642209460,4,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209460
3489,A11F2S2642209481,1,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209481
3490,A11F2S2642209462,6,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209462
3491,A11F2S2642209480,2,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209480
3492,A11F2S2642209459,5,2026-08-19 14:50,50:38.0,50:38.0,A11F2S2642209459
3493,A11F2S2642209724,2,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209724
3494,A11F2S2642209470,6,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209470
3495,A11F2S2642209725,1,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209725
3496,A11F2S2642209452,5,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209452
3497,A11F2S2642209453,4,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209453
3498,A11F2S2642209739,3,2026-08-19 14:50,50:30.0,50:30.0,A11F2S2642209739
3499,A11F2S2642209744,6,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209744
3500,A11F2S2642209740,2,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209740
3501,A11F2S2642209735,4,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209735
3502,A11F2S2642209736,3,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209736
3503,A11F2S2642209745,5,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209745
3504,A11F2S2642209729,1,2026-08-19 14:50,50:22.0,50:22.0,A11F2S2642209729
3505,A11F2S2642209732,6,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209732
3506,A11F2S2642209717,1,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209717
3507,A11F2S2642209728,2,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209728
3508,A11F2S2642209723,3,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209723
3509,A11F2S2642209733,5,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209733
3510,A11F2S2642209734,4,2026-08-19 14:50,50:14.0,50:14.0,A11F2S2642209734
3511,A11F2S2642209719,5,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642209719
3512,A11F2S2642209738,4,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642209738
3513,A11F2S2642207061,1,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642207061
3514,A11F2S2642203832,3,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642203832
3515,A11F2S2642209718,6,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642209718
3516,A11F2S2642203827,2,2026-08-19 14:49,50:06.0,50:06.0,A11F2S2642203827
3517,A11F2S2642207062,6,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207062
3518,A11F2S2642207065,3,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207065
3519,A11F2S2642207064,4,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207064
3520,A11F2S2642207066,2,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207066
3521,A11F2S2642207063,5,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207063
3522,A11F2S2642207078,1,2026-08-19 14:49,49:57.0,49:57.0,A11F2S2642207078
3523,A11F2S2642203698,3,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642203698
3524,A11F2S2642203578,4,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642203578
3525,A11F2S2642204934,5,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642204934
3526,A11F2S2642203988,1,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642203988
3527,A11F2S2642205104,6,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642205104
3528,A11F2S2642200656,2,2026-08-19 14:49,49:49.0,49:49.0,A11F2S2642200656
3529,A11F2S2642202879,6,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642202879
3530,A11F2S2642204062,5,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642204062
3531,A11F2S2642209772,3,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642209772
3532,A11F2S2642203526,4,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642203526
3533,A11F2S2642209788,1,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642209788
3534,A11F2S2642209760,2,2026-08-19 14:49,49:40.0,49:40.0,A11F2S2642209760
3535,A11F2S2642209774,1,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209774
3536,A11F2S2642209773,2,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209773
3537,A11F2S2642209779,5,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209779
3538,A11F2S2642209777,6,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209777
3539,A11F2S2642209781,3,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209781
3540,A11F2S2642209780,4,2026-08-19 14:49,49:33.0,49:33.0,A11F2S2642209780
3541,A11F2S2642209764,1,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642209764
3542,A11F2S2642209767,6,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642209767
3543,A11F2S2642209768,5,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642209768
3544,A11F2S2642209759,3,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642209759
3545,A11F2S2642209763,2,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642209763
3546,A11F2S2642133917,4,2026-08-19 14:49,49:24.0,49:24.0,A11F2S2642133917
3547,A11F2S2642207079,1,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642207079
3548,A11F2S2642209753,6,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642209753
3549,A11F2S2642209754,5,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642209754
3550,A11F2S2642207077,2,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642207077
3551,A11F2S2642209771,4,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642209771
3552,A11F2S2642207076,3,2026-08-19 14:49,49:17.0,49:17.0,A11F2S2642207076
3553,A11F2S2642207095,1,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207095
3554,A11F2S2642207081,5,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207081
3555,A11F2S2642207080,6,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207080
3556,A11F2S2642207083,3,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207083
3557,A11F2S2642207090,4,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207090
3558,A11F2S2642207082,2,2026-08-19 14:48,49:09.0,49:09.0,A11F2S2642207082
3559,A11F2S2642207070,4,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207070
3560,A11F2S2642207071,3,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207071
3561,A11F2S2642207069,5,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207069
3562,A11F2S2642207084,1,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207084
3563,A11F2S2642207072,2,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207072
3564,A11F2S2642207068,6,2026-08-19 14:48,49:00.0,49:00.0,A11F2S2642207068
3565,A11F2S2642209792,3,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642209792
3566,A11F2S2642207075,4,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642207075
3567,A11F2S2642207074,5,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642207074
3568,A11F2S2642209785,1,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642209785
3569,A11F2S2642207073,6,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642207073
3570,A11F2S2642209784,2,2026-08-19 14:48,48:52.0,48:52.0,A11F2S2642209784
3571,A11F2S2642209793,2,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209793
3572,A11F2S2642209786,6,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209786
3573,A11F2S2642209805,4,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209805
3574,A11F2S2642209811,1,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209811
3575,A11F2S2642209806,3,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209806
3576,A11F2S2642209787,5,2026-08-19 14:48,48:44.0,48:44.0,A11F2S2642209787
3577,A11F2S2642209800,1,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209800
3578,A11F2S2642209782,2,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209782
3579,A11F2S2642209794,4,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209794
3580,A11F2S2642209765,5,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209765
3581,A11F2S2642209775,6,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209775
3582,A11F2S2642209783,3,2026-08-19 14:48,48:35.0,48:35.0,A11F2S2642209783
3583,A11F2S2642207125,2,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642207125
3584,A11F2S2642209791,4,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642209791
3585,A11F2S2642209789,6,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642209789
3586,A11F2S2642209790,5,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642209790
3587,A11F2S2642207126,1,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642207126
3588,A11F2S2642207112,3,2026-08-19 14:48,48:28.0,48:28.0,A11F2S2642207112
3589,A11F2S2642207118,3,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207118
3590,A11F2S2642207117,4,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207117
3591,A11F2S2642207115,6,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207115
3592,A11F2S2642207131,2,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207131
3593,A11F2S2642207132,1,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207132
3594,A11F2S2642207116,5,2026-08-19 14:48,48:19.0,48:19.0,A11F2S2642207116
3595,A11F2S2642207119,1,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207119
3596,A11F2S2642207114,6,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207114
3597,A11F2S2642207106,2,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207106
3598,A11F2S2642207105,3,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207105
3599,A11F2S2642207103,5,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207103
3600,A11F2S2642207104,4,2026-08-19 14:48,48:11.0,48:11.0,A11F2S2642207104
3601,A11F2S2642207111,4,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642207111
3602,A11F2S2642209820,1,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642209820
3603,A11F2S2642209830,2,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642209830
3604,A11F2S2642209826,3,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642209826
3605,A11F2S2642207109,5,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642207109
3606,A11F2S2642207120,6,2026-08-19 14:47,48:02.0,48:02.0,A11F2S2642207120
3607,A11F2S2642209841,3,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209841
3608,A11F2S2642209840,4,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209840
3609,A11F2S2642209821,6,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209821
3610,A11F2S2642209846,1,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209846
3611,A11F2S2642209822,5,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209822
3612,A11F2S2642209827,2,2026-08-19 14:47,47:54.0,47:54.0,A11F2S2642209827
3613,A11F2S2642209829,3,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209829
3614,A11F2S2642209828,4,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209828
3615,A11F2S2642209809,6,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209809
3616,A11F2S2642209816,2,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209816
3617,A11F2S2642209810,5,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209810
3618,A11F2S2642209834,1,2026-08-19 14:47,47:47.0,47:47.0,A11F2S2642209834
3619,A11F2S2642207108,1,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642207108
3620,A11F2S2642209825,4,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642209825
3621,A11F2S2642207093,3,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642207093
3622,A11F2S2642209836,5,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642209836
3623,A11F2S2642207094,2,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642207094
3624,A11F2S2642209835,6,2026-08-19 14:47,47:38.0,47:38.0,A11F2S2642209835
3625,A11F2S2642207107,3,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207107
3626,A11F2S2642207099,4,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207099
3627,A11F2S2642207097,6,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207097
3628,A11F2S2642207100,2,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207100
3629,A11F2S2642207098,5,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207098
3630,A11F2S2642207113,1,2026-08-19 14:47,47:30.0,47:30.0,A11F2S2642207113
3631,A11F2S2642207089,2,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207089
3632,A11F2S2642207087,4,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207087
3633,A11F2S2642207096,6,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207096
3634,A11F2S2642207085,5,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207085
3635,A11F2S2642207101,1,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207101
3636,A11F2S2642207088,3,2026-08-19 14:47,47:23.0,47:23.0,A11F2S2642207088
3637,A11F2S2642207102,6,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642207102
3638,A11F2S2642209823,1,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642209823
3639,A11F2S2642207092,4,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642207092
3640,A11F2S2642209804,2,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642209804
3641,A11F2S2642209818,3,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642209818
3642,A11F2S2642207091,5,2026-08-19 14:47,47:14.0,47:14.0,A11F2S2642207091
3643,A11F2S2642209814,4,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209814
3644,A11F2S2642209813,5,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209813
3645,A11F2S2642209815,3,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209815
3646,A11F2S2642209807,2,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209807
3647,A11F2S2642209808,1,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209808
3648,A11F2S2642209824,6,2026-08-19 14:46,47:05.0,47:05.0,A11F2S2642209824
3649,A11F2S2642209801,5,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209801
3650,A11F2S2642209802,4,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209802
3651,A11F2S2642209803,3,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209803
3652,A11F2S2642209812,6,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209812
3653,A11F2S2642209795,2,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209795
3654,A11F2S2642209796,1,2026-08-19 14:46,46:57.0,46:57.0,A11F2S2642209796
3655,A11F2S2642209799,5,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642209799
3656,A11F2S2642207142,2,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642207142
3657,A11F2S2642209817,4,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642209817
3658,A11F2S2642207143,1,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642207143
3659,A11F2S2642209797,6,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642209797
3660,A11F2S2642207130,3,2026-08-19 14:46,46:49.0,46:49.0,A11F2S2642207130
3661,A11F2S2642207134,4,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207134
3662,A11F2S2642207133,5,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207133
3663,A11F2S2642207150,1,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207150
3664,A11F2S2642207144,6,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207144
3665,A11F2S2642207149,2,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207149
3666,A11F2S2642207135,3,2026-08-19 14:46,46:41.0,46:41.0,A11F2S2642207135
3667,A11F2S2642207137,1,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207137
3668,A11F2S2642207124,3,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207124
3669,A11F2S2642207122,5,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207122
3670,A11F2S2642207121,6,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207121
3671,A11F2S2642207136,2,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207136
3672,A11F2S2642207123,4,2026-08-19 14:46,46:32.0,46:32.0,A11F2S2642207123
3673,A11F2S2642207127,5,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642207127
3674,A11F2S2642209857,1,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642209857
3675,A11F2S2642207138,6,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642207138
3676,A11F2S2642209852,3,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642209852
3677,A11F2S2642209848,2,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642209848
3678,A11F2S2642207128,4,2026-08-19 14:46,46:24.0,46:24.0,A11F2S2642207128
3679,A11F2S2642209853,2,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209853
3680,A11F2S2642209849,3,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209849
3681,A11F2S2642209860,4,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209860
3682,A11F2S2642209854,1,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209854
3683,A11F2S2642209858,6,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209858
3684,A11F2S2642209859,5,2026-08-19 14:46,46:16.0,46:16.0,A11F2S2642209859
3685,A11F2S2642209839,3,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209839
3686,A11F2S2642209838,4,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209838
3687,A11F2S2642209842,2,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209842
3688,A11F2S2642209831,1,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209831
3689,A11F2S2642209847,6,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209847
3690,A11F2S2642209837,5,2026-08-19 14:45,46:08.0,46:08.0,A11F2S2642209837
3691,A11F2S2642207160,3,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642207160
3692,A11F2S2642207162,1,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642207162
3693,A11F2S2642209851,4,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642209851
3694,A11F2S2642209832,6,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642209832
3695,A11F2S2642209833,5,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642209833
3696,A11F2S2642207161,2,2026-08-19 14:45,46:01.0,46:01.0,A11F2S2642207161
3697,A11F2S2642207167,2,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207167
3698,A11F2S2642207153,4,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207153
3699,A11F2S2642207166,3,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207166
3700,A11F2S2642207168,1,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207168
3701,A11F2S2642207151,6,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207151
3702,A11F2S2642207152,5,2026-08-19 14:45,45:52.0,45:52.0,A11F2S2642207152
3703,A11F2S2642207141,3,2026-08-19 14:45,45:44.0,45:44.0,A11F2S2642207141
3704,A11F2S2642207148,4,2026-08-19 14:45,45:44.0,45:44.0,A11F2S2642207148
